,time_stamp,id,age,gender,trial,word,wordtype,reaction_time,decision,trigger_word,trigger_decision
0,2022_Mar_15_1127,abc,123,Female,0,bøseg,center_shuffle,1.0938414999982342,nej,2,22
1,2022_Mar_15_1127,abc,123,Female,1,april,real,0.783941000001505,ja,1,11
2,2022_Mar_15_1127,abc,123,Female,2,ᚷᚱᚢᚾᛞ,foreign,0.5760421000013594,nej,4,24
3,2022_Mar_15_1127,abc,123,Female,3,ᚺᛟᚡᛖᛞ,foreign,0.5783185999898706,nej,4,24
4,2022_Mar_15_1127,abc,123,Female,4,ᛗᚨᚾᛖᛞ,foreign,0.6033868999948027,nej,4,24
5,2022_Mar_15_1127,abc,123,Female,5,ᛈᚨᚢᛋᛖ,foreign,0.4893914999993285,nej,4,24
6,2022_Mar_15_1127,abc,123,Female,6,grops,fully_shuffle,0.9546433000068646,nej,3,23
7,2022_Mar_15_1127,abc,123,Female,7,knore,center_shuffle,0.8523571999976411,nej,2,22
8,2022_Mar_15_1127,abc,123,Female,8,ᚨᛚᚡᛟᚱ,foreign,0.5458757000014884,nej,4,24
9,2022_Mar_15_1127,abc,123,Female,9,etiak,fully_shuffle,0.8116214999899967,nej,3,23
10,2022_Mar_15_1127,abc,123,Female,10,gøbes,fully_shuffle,0.7626702999987174,nej,3,23
11,2022_Mar_15_1127,abc,123,Female,11,butik,real,0.6727844999986701,ja,1,11
12,2022_Mar_15_1127,abc,123,Female,12,ᛈᚨᚱᛏᛁ,foreign,0.5840204000123776,nej,4,24
13,2022_Mar_15_1127,abc,123,Female,13,menåd,center_shuffle,0.7943891000031726,nej,2,22
14,2022_Mar_15_1127,abc,123,Female,14,værdi,real,0.6292706999956863,ja,1,11
15,2022_Mar_15_1127,abc,123,Female,15,krone,real,0.7558713000034913,ja,1,11
16,2022_Mar_15_1127,abc,123,Female,16,bituk,center_shuffle,0.725291599999764,nej,2,22
17,2022_Mar_15_1127,abc,123,Female,17,koles,fully_shuffle,0.6669312000012724,nej,3,23
18,2022_Mar_15_1127,abc,123,Female,18,penge,real,0.6093489000049885,ja,1,11
19,2022_Mar_15_1127,abc,123,Female,19,årsag,real,0.7125152000080561,ja,1,11
20,2022_Mar_15_1127,abc,123,Female,20,ekkir,fully_shuffle,0.6624538999894867,nej,3,23
21,2022_Mar_15_1127,abc,123,Female,21,bilog,center_shuffle,0.7424139999930048,ja,2,12
22,2022_Mar_15_1127,abc,123,Female,22,fokus,real,0.7168869999877643,ja,1,11
